Incident Number,Date of Incident,Application,Severity,Owner,Caused by Change,Incident Description,Timeline
INC2850001,24 Jan 2024,UFS-UK PI SECURE SITE,2 - High,"Smith, John",CHG2130495,"{'summary': 'Change CHG2130495 affected the UFS-UK PI SECURE SITE functionality.', 'resolution': 'Rollback of the change', 'client_impact': '56 clients were impacted.'}","9:00 AM: Issue detected.
10:30 AM: Root cause analysis started.
12:00 PM: Change rolled back."
INC2850002,31 Mar 2024,TUG-GATEWAY-API-SERVER,4 - Low,"Doe, Jane",CHG2130631,"{'summary': 'Change CHG2130631 affected the TUG-GATEWAY-API-SERVER functionality.', 'resolution': 'Rollback of the change', 'client_impact': '185 clients were impacted.'}","9:00 AM: Issue detected.
10:30 AM: Root cause analysis started.
12:00 PM: Change rolled back."
INC2850003,03 Mar 2024,UFS-UK PI SECURE SITE,4 - Low,"Smith, John",CHG2130898,"{'summary': 'Change CHG2130898 affected the UFS-UK PI SECURE SITE functionality.', 'resolution': 'Rollback of the change', 'client_impact': '200 clients were impacted.'}","9:00 AM: Issue detected.
10:30 AM: Root cause analysis started.
12:00 PM: Change rolled back."
INC2850004,25 Jul 2024,TUG-GATEWAY-API-SERVER,2 - High,"Doe, Jane",CHG2130854,"{'summary': 'Change CHG2130854 affected the TUG-GATEWAY-API-SERVER functionality.', 'resolution': 'Rollback of the change', 'client_impact': '108 clients were impacted.'}","9:00 AM: Issue detected.
10:30 AM: Root cause analysis started.
12:00 PM: Change rolled back."
INC2850005,23 Aug 2024,UFS-UK PI SECURE SITE,1 - Critical,"Doe, Jane",CHG2130987,"{'summary': 'Change CHG2130987 affected the UFS-UK PI SECURE SITE functionality.', 'resolution': 'Rollback of the change', 'client_impact': '200 clients were impacted.'}","9:00 AM: Issue detected.
10:30 AM: Root cause analysis started.
12:00 PM: Change rolled back."
INC2850006,09 Oct 2024,TUG-GATEWAY-API-SERVER,2 - High,"Smith, John",CHG2130312,"{'summary': 'Change CHG2130312 affected the TUG-GATEWAY-API-SERVER functionality.', 'resolution': 'Rollback of the change', 'client_impact': '60 clients were impacted.'}","9:00 AM: Issue detected.
10:30 AM: Root cause analysis started.
12:00 PM: Change rolled back."
INC2850007,05 Feb 2024,TUG-GATEWAY-API-SERVER,1 - Critical,"Smith, John",CHG2130278,"{'summary': 'Change CHG2130278 affected the TUG-GATEWAY-API-SERVER functionality.', 'resolution': 'Rollback of the change', 'client_impact': '171 clients were impacted.'}","9:00 AM: Issue detected.
10:30 AM: Root cause analysis started.
12:00 PM: Change rolled back."
INC2850008,19 Jun 2024,UFS-UK PI SECURE SITE,3 - Medium,"Smith, John",CHG2130051,"{'summary': 'Change CHG2130051 affected the UFS-UK PI SECURE SITE functionality.', 'resolution': 'Rollback of the change', 'client_impact': '70 clients were impacted.'}","9:00 AM: Issue detected.
10:30 AM: Root cause analysis started.
12:00 PM: Change rolled back."
INC2850009,22 Mar 2024,UF1-UK-CLIENT-MONOREPO,1 - Critical,"Brown, Alice",CHG2130859,"{'summary': 'Change CHG2130859 affected the UF1-UK-CLIENT-MONOREPO functionality.', 'resolution': 'Rollback of the change', 'client_impact': '60 clients were impacted.'}","9:00 AM: Issue detected.
10:30 AM: Root cause analysis started.
12:00 PM: Change rolled back."
INC2850010,16 Oct 2024,UF1-UK-CLIENT-MONOREPO,2 - High,"Smith, John",CHG2130998,"{'summary': 'Change CHG2130998 affected the UF1-UK-CLIENT-MONOREPO functionality.', 'resolution': 'Rollback of the change', 'client_impact': '139 clients were impacted.'}","9:00 AM: Issue detected.
10:30 AM: Root cause analysis started.
12:00 PM: Change rolled back."
